DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION
7326,Other juvenile osteochondrosis,Juv osteochondrosis NEC
7327,Osteochondritis dissecans,Osteochondrit dissecans
7328,Other specified forms of osteochondropathy,Osteochondropathy NEC
7329,Unspecified osteochondropathy,Osteochondropathy NOS
73300,"Osteoporosis, unspecified",Osteoporosis NOS
73301,Senile osteoporosis,Senile osteoporosis
73302,Idiopathic osteoporosis,Idiopathic osteoporosis
73303,Disuse osteoporosis,Disuse osteoporosis
73309,Other osteoporosis,Osteoporosis NEC
73310,"Pathologic fracture, unspecified site",Path fx unspecified site
73311,Pathologic fracture of humerus,Path fx humerus
73312,Pathologic fracture of distal radius and ulna,Path fx dstl radius ulna
73313,Pathologic fracture of vertebrae,Path fx vertebrae
73314,Pathologic fracture of neck of femur,Path fx neck of femur
73315,Pathologic fracture of other specified part of femur,Path fx oth spcf prt fmr
73316,Pathologic fracture of tibia or fibula,Path fx tibia fibula
73319,Pathologic fracture of other specified site,Path fx oth specif site
73320,"Cyst of bone (localized), unspecified",Cyst of bone NOS
73321,Solitary bone cyst,Solitary bone cyst
73322,Aneurysmal bone cyst,Aneurysmal bone cyst
73329,Other bone cyst,Bone cyst NEC
7333,Hyperostosis of skull,Hyperostosis of skull
73340,"Aseptic necrosis of bone, site unspecified",Asept necrosis bone NOS
73341,Aseptic necrosis of head of humerus,Aseptic necrosis humerus
73342,Aseptic necrosis of head and neck of femur,Aseptic necrosis femur
73343,Aseptic necrosis of medial femoral condyle,Asept necro femur condyl
73344,Aseptic necrosis of talus,Aseptic necrosis talus
73345,"Aseptic necrosis of bone, jaw",Aseptic necrosis of jaw
73349,"Aseptic necrosis of bone, other",Asept necrosis bone NEC
7335,Osteitis condensans,Osteitis condensans
7336,Tietze's disease,Tietze's disease
7337,Algoneurodystrophy,Algoneurodystrophy
73381,Malunion of fracture,Malunion of fracture
73382,Nonunion of fracture,Nonunion of fracture
73390,"Disorder of bone and cartilage, unspecified",Bone & cartilage dis NOS
73391,Arrest of bone development or growth,Arrest of bone growth
73392,Chondromalacia,Chondromalacia
73393,Stress fracture of tibia or fibula,Stress fx tibia/fibula
73394,Stress fracture of the metatarsals,Stress fx metatarsals
73395,Stress fracture of other bone,Stress fracture bone NEC
73396,Stress fracture of femoral neck,Stress fx femoral neck
73397,Stress fracture of shaft of femur,Stress fx shaft femur
73398,Stress fracture of pelvis,Stress fx pelvis
73399,Other disorders of bone and cartilage,Bone & cartilage dis NEC
734,Flat foot,Flat foot
7350,Hallux valgus (acquired),Hallux valgus
7351,Hallux varus (acquired),Hallux varus
7352,Hallux rigidus,Hallux rigidus
7353,Hallux malleus,Hallux malleus
7354,Other hammer toe (acquired),Other hammer toe
7355,Claw toe (acquired),Claw toe
7358,Other acquired deformities of toe,Acq deformity of toe NEC
7359,Unspecified acquired deformity of toe,Acq deformity of toe NOS
73600,"Unspecified deformity of forearm, excluding fingers",Forearm deformity NOS
73601,Cubitus valgus (acquired),Cubitus valgus
73602,Cubitus varus (acquired),Cubitus varus
73603,Valgus deformity of wrist (acquired),Valgus deformity wrist
73604,Varus deformity of wrist (acquired),Varus deformity wrist
73605,Wrist drop (acquired),Wrist drop
73606,Claw hand (acquired),Claw hand
73607,"Club hand, acquired","Club hand, acquired"
73609,"Other acquired deformities of forearm, excluding fingers",Forearm deformity NEC
7361,Mallet finger,Mallet finger
73620,Unspecified deformity of finger,Acq finger deformity NOS
73621,Boutonniere deformity,Boutonniere deformity
73622,Swan-neck deformity,Swan-neck deformity
73629,Other acquired deformities of finger,Acq finger deformity NEC
73630,Unspecified acquired deformity of hip,Acq hip deformity NOS
73631,Coxa valga (acquired),Coxa valga
73632,Coxa vara (acquired),Coxa vara
73639,Other acquired deformities of hip,Acq hip deformity NEC
73641,Genu valgum (acquired),Genu valgum
73642,Genu varum (acquired),Genu varum
7365,Genu recurvatum (acquired),Genu recurvatum
7366,Other acquired deformities of knee,Acq knee deformity NEC
73670,"Unspecified deformity of ankle and foot, acquired",Acq ankle-foot def NOS
73671,Acquired equinovarus deformity,Acq equinovarus
73672,"Equinus deformity of foot, acquired",Acq equinus deformity
73673,"Cavus deformity of foot, acquired",Cavus deformity of foot
73674,"Claw foot, acquired","Claw foot, acquired"
73675,"Cavovarus deformity of foot, acquired",Acq cavovarus deformity
73676,Other acquired calcaneus deformity,Calcaneus deformity NEC
73679,Other acquired deformities of ankle and foot,Acq ankle-foot def NEC
73681,Unequal leg length (acquired),Unequal leg length
73689,Other acquired deformity of other parts of limb,Oth acq limb deformity
7369,"Acquired deformity of limb, site unspecified",Acq limb deformity NOS
7370,Adolescent postural kyphosis,Adoles postural kyphosis
73710,Kyphosis (acquired) (postural),Kyphosis NOS
73711,Kyphosis due to radiation,Radiation kyphosis
73712,"Kyphosis, postlaminectomy",Postlaminectomy kyphosis
73719,Other kyphosis (acquired),Kyphosis NEC
73720,Lordosis (acquired) (postural),Lordosis NOS
73721,"Lordosis, postlaminectomy",Postlaminectomy lordosis
73722,Other postsurgical lordosis,Oth postsurgery lordosis
73729,Other lordosis (acquired),Lordosis NEC
73730,"Scoliosis [and kyphoscoliosis], idiopathic",Idiopathic scoliosis
73731,Resolving infantile idiopathic scoliosis,Resolv idiopath scolios
73732,Progressive infantile idiopathic scoliosis,Progr idiopath scoliosis
73733,Scoliosis due to radiation,Radiation scoliosis
73734,Thoracogenic scoliosis,Thoracogenic scoliosis
73739,Other kyphoscoliosis and scoliosis,Scoliosis NEC
73740,"Curvature of spine, unspecified, associated with other conditions",Spin curv NOS in oth dis
73741,Kyphosis associated with other conditions,Kyphosis in oth dis
73742,Lordosis associated with other conditions,Lordosis in oth dis
73743,Scoliosis associated with other conditions,Scoliosis in oth dis
7378,Other curvatures of spine ,Curvature of spine NEC
7379,Unspecified curvature of spine ,Curvature of spine NOS
7380,Acquired deformity of nose,Acq nose deformity
73810,Unspecified acquired deformity of head ,Unspf acq deformity head
73811,Zygomatic hyperplasia,Zygomatic hyperplasia
73812,Zygomatic hypoplasia,Zygomatic hypoplasia
73819,Other specified acquired deformity of head ,Oth spcf deformity head
7382,Acquired deformity of neck,Acq neck deformity
7383,Acquired deformity of chest and rib,Acq chest deformity
7384,Acquired spondylolisthesis,Acq spondylolisthesis
7385,Other acquired deformity of back or spine,Other acq back deformity
7386,Acquired deformity of pelvis,Acq pelvic deformity
7387,Cauliflower ear,Cauliflower ear
7388,Acquired deformity of other specified site,Acq deformity NEC
7389,Acquired deformity of unspecified site,Acq deformity NOS
7390,"Nonallopathic lesions, head region",Somat dys head region
7391,"Nonallopathic lesions, cervical region",Somat dysfunc cervic reg
7392,"Nonallopathic lesions, thoracic region",Somat dysfunc thorac reg
7393,"Nonallopathic lesions, lumbar region",Somat dysfunc lumbar reg
7394,"Nonallopathic lesions, sacral region",Somat dysfunc sacral reg
7395,"Nonallopathic lesions, pelvic region",Somat dysfunc pelvic reg
7396,"Nonallopathic lesions, lower extremities",Somat dysfunc lower extr
7397,"Nonallopathic lesions, upper extremities",Somat dysfunc upper extr
7398,"Nonallopathic lesions, rib cage",Somat dysfunc rib cage
7399,"Nonallopathic lesions, abdomen and other sites",Somatic dysfunction NEC
7400,Anencephalus,Anencephalus
7401,Craniorachischisis,Craniorachischisis
7402,Iniencephaly,Iniencephaly
74100,"Spina bifida with hydrocephalus, unspecified region ",Spin bif w hydroceph NOS
74101,"Spina bifida with hydrocephalus, cervical region ",Spin bif w hydrceph-cerv
74102,"Spina bifida with hydrocephalus, dorsal (thoracic) region ",Spin bif w hydrceph-dors
74103,"Spina bifida with hydrocephalus, lumbar region ",Spin bif w hydrceph-lumb
74190,"Spina bifida without mention of hydrocephalus, unspecified region ",Spina bifida
74191,"Spina bifida without mention of hydrocephalus, cervical region ",Spina bifida-cerv
74192,"Spina bifida without mention of hydrocephalus, dorsal (thoracic) region ",Spina bifida-dorsal
74193,"Spina bifida without mention of hydrocephalus, lumbar region ",Spina bifida-lumbar
7420,Encephalocele,Encephalocele
7421,Microcephalus,Microcephalus
7422,Congenital reduction deformities of brain,"Reduction deform, brain"
7423,Congenital hydrocephalus,Congenital hydrocephalus
7424,Other specified congenital anomalies of brain,Brain anomaly NEC
74251,Diastematomyelia,Diastematomyelia
74253,Hydromyelia,Hydromyelia
74259,Other specified congenital anomalies of spinal cord,Spinal cord anomaly NEC
7428,Other specified congenital anomalies of nervous system,Nervous system anom NEC
7429,"Unspecified congenital anomaly of brain, spinal cord, and nervous system",Nervous system anom NOS
74300,"Clinical anophthalmos, unspecified",Clinic anophthalmos NOS
74303,"Cystic eyeball, congenital",Congen cystic eyeball
74306,Cryptophthalmos,Cryptophthalmos
74310,"Microphthalmos, unspecified",Microphthalmos NOS
74311,Simple microphthalmos,Simple microphthalmos
74312,Microphthalmos associated with other anomalies of eye and adnexa,Microphth w oth eye anom
74320,"Buphthalmos, unspecified",Buphthalmos NOS
74321,Simple buphthalmos,Simple buphthalmos
74322,Buphthalmos associated with other ocular anomalies,Buphthal w oth eye anom
74330,"Congenital cataract, unspecified",Congenital cataract NOS
74331,Congenital capsular and subcapsular cataract,Capsular cataract
74332,Congenital cortical and zonular cataract,Cortical/zonular catarac
74333,Congenital nuclear cataract,Nuclear cataract
74334,"Total and subtotal cataract, congenital ",Cong tot/subtot cataract
74335,Congenital aphakia,Congenital aphakia
74336,Congenital anomalies of lens shape,Anomalies of lens shape
74337,Congenital ectopic lens,Congenital ectopic lens
74339,Other congenital cataract and lens anomalies,Cong catar/lens anom NEC
74341,Congenital anomalies of corneal size and shape,Anom corneal size/shape
74342,"Corneal opacities, interfering with vision, congenital ",Cong cornea opac aff vis
74343,"Other corneal opacities, congenital",Cong corneal opacit NEC
74344,"Specified congenital anomalies of anterior chamber, chamber angle, and related structures",Anom anter chamber-eye
74345,Aniridia,Aniridia
74346,Other specified congenital anomalies of iris and ciliary body,Anom iris & cil body NEC
74347,Specified congenital anomalies of sclera,Anomalies of sclera
74348,Multiple and combined congenital anomalies of anterior segment,Mult anom anter seg-eye
74349,Other congenital anomalies of anterior segment,Anom anter seg NEC-eye
74351,Vitreous anomalies,Vitreous anomalies
74352,Fundus coloboma,Fundus coloboma
74353,"Chorioretinal degeneration, congenital",Cong chorioretinal degen
74354,Congenital folds and cysts of posterior segment,Cong fold/cyst post eye
74355,Congenital macular changes,Cong macular change-eye
74356,"Other retinal changes, congenital",Cong retinal changes NEC
74357,Specified congenital anomalies of optic disc,Optic disc anomalies
74358,Vascular anomalies,Vascular anom post eye
74359,Other congenital anomalies of posterior segment,Post segmnt anom NEC-eye
74361,Congenital ptosis ,Congenital ptosis
74362,Congenital deformities of eyelids,Congenital eyelid deform
74363,Other specified congenital anomalies of eyelid,Spec anom of eyelid NEC
74364,Specified congenital anomalies of lacrimal gland,Spec lacrimal gland anom
74365,Specified congenital anomalies of lacrimal passages,Spec lacrimal pass anom
74366,Specified congenital anomalies of orbit,Spec anomaly of orbit
74369,"Other congenital anomalies of eyelids, lacrimal system, and orbit",Anom eyelid/lacr/orb NEC
7438,Other specified anomalies of eye,Eye anomalies NEC
7439,Unspecified anomaly of eye,Eye anomaly NOS
74400,Unspecified anomaly of ear with impairment of hearing,Ear anom NOS/impair hear
74401,Absence of external ear,Cong absence ext ear
74402,Other anomalies of external ear with impairment of hearing,Ex ear anm NEC-impr hear
74403,"Anomaly of middle ear, except ossicles",Middle ear anomaly NEC
74404,Anomalies of ear ossicles,Anomalies ear ossicles
74405,Anomalies of inner ear,Anomalies of inner ear
74409,Other anomalies of ear causing impairment of hearing,Ear anom NEC/impair hear
7441,Accessory auricle,Accessory auricle
74421,"Absence of ear lobe, congenital",Cong absence of ear lobe
74422,Macrotia,Macrotia
74423,Microtia,Microtia
74424,Specified anomalies of Eustachian tube,Eustachian tube anom NEC
74429,Other specified anomalies of ear,Ear anomalies NEC
7443,Unspecified anomaly of ear,Ear anomaly NOS
74441,Branchial cleft sinus or fistula,Branch cleft sinus/fistu
74442,Branchial cleft cyst,Branchial cleft cyst
74443,Cervical auricle,Cervical auricle
74446,Preauricular sinus or fistula,Preauricular sinus/fistu
74447,Preauricular cyst,Preauricular cyst
74449,Other branchial cleft cyst or fistula; preauricular sinus,Branchial cleft anom NEC
7445,Webbing of neck,Webbing of neck
74481,Macrocheilia,Macrocheilia
74482,Microcheilia,Microcheilia
74483,Macrostomia,Macrostomia
74484,Microstomia,Microstomia
74489,Other specified congenital anomalies of face and neck,Cong face/neck anom NEC
7449,Unspecified congenital anomalies of face and neck,Cong face/neck anom NOS
7450,Common truncus,Common truncus
74510,Complete transposition of great vessels,Compl transpos great ves
74511,Double outlet right ventricle,Double outlet rt ventric
74512,Corrected transposition of great vessels,Correct transpos grt ves
74519,Other transposition of great vessels,Transpos great vess NEC
7452,Tetralogy of fallot,Tetralogy of fallot
7453,Common ventricle,Common ventricle
7454,Ventricular septal defect,Ventricular sept defect
7455,Ostium secundum type atrial septal defect,Secundum atrial sept def
74560,"Endocardial cushion defect, unspecified type",Endocard cushion def NOS
74561,Ostium primum defect,Ostium primum defect
74569,Other endocardial cushion defects,Endocard cushion def NEC
7457,Cor biloculare,Cor biloculare
7458,Other bulbus cordis anomalies and anomalies of cardiac septal closure,Septal closure anom NEC
7459,Unspecified defect of septal closure,Septal closure anom NOS
74600,"Congenital pulmonary valve anomaly, unspecified",Pulmonary valve anom NOS
74601,"Atresia of pulmonary valve, congenital",Cong pulmon valv atresia
74602,"Stenosis of pulmonary valve, congenital",Cong pulmon valve stenos
74609,Other congenital anomalies of pulmonary valve,Pulmonary valve anom NEC
7461,"Tricuspid atresia and stenosis, congenital",Cong tricusp atres/sten
7462,Ebstein's anomaly,Ebstein's anomaly
7463,Congenital stenosis of aortic valve,Cong aorta valv stenosis
7464,Congenital insufficiency of aortic valve,Cong aorta valv insuffic
7465,Congenital mitral stenosis,Congen mitral stenosis
7466,Congenital mitral insufficiency,Cong mitral insufficienc
7467,Hypoplastic left heart syndrome,Hypoplas left heart synd
74681,Subaortic stenosis,Cong subaortic stenosis
74682,Cor triatriatum,Cor triatriatum
74683,Infundibular pulmonic stenosis,Infundib pulmon stenosis
74684,"Obstructive anomalies of heart, not elsewhere classified",Obstruct heart anom NEC
74685,Coronary artery anomaly,Coronary artery anomaly
74686,Congenital heart block,Congenital heart block
74687,Malposition of heart and cardiac apex,Malposition of heart
74689,Other specified congenital anomalies of heart,Cong heart anomaly NEC
7469,Unspecified congenital anomaly of heart,Cong heart anomaly NOS
7470,Patent ductus arteriosus,Patent ductus arteriosus
74710,Coarctation of aorta (preductal) (postductal),Coarctation of aorta
74711,Interruption of aortic arch,Interrupt of aortic arch
74720,"Anomaly of aorta, unspecified",Cong anom of aorta NOS
74721,Anomalies of aortic arch,Anomalies of aortic arch
74722,Atresia and stenosis of aorta,Aortic atresia/stenosis
74729,Other anomalies of aorta,Cong anom of aorta NEC
7473,Anomalies of pulmonary artery,Pulmonary artery anom
74740,"Anomaly of great veins, unspecified",Great vein anomaly NOS
74741,Total anomalous pulmonary venous connection,Tot anom pulm ven connec
74742,Partial anomalous pulmonary venous connection,Part anom pulm ven conn
74749,Other anomalies of great veins,Great vein anomaly NEC
7475,Absence or hypoplasia of umbilical artery,Umbilical artery absence
74760,"Anomaly of the peripheral vascular system, unspecified site",Unsp prpherl vasc anomal
74761,Gastrointestinal vessel anomaly,Gstrontest vesl anomaly
74762,Renal vessel anomaly,Renal vessel anomaly
74763,Upper limb vessel anomaly,Upr limb vessel anomaly
74764,Lower limb vessel anomaly,Lwr limb vessel anomaly
74769,Anomalies of other specified sites of peripheral vascular system,Oth spcf prph vscl anoml
74781,Anomalies of cerebrovascular system,Cerebrovascular anomaly
74782,Spinal vessel anomaly,Spinal vessel anomaly
74783,Persistent fetal circulation,Persistent fetal circ
74789,Other specified anomalies of circulatory system,Circulatory anomaly NEC
7479,Unspecified anomaly of circulatory system,Circulatory anomaly NOS
7480,Choanal atresia,Choanal atresia
7481,Other anomalies of nose,Nose anomaly NEC
7482,Web of larynx,Laryngeal web
7483,"Other anomalies of larynx, trachea, and bronchus",Laryngotrach anomaly NEC
7484,Congenital cystic lung,Congenital cystic lung
7485,"Agenesis, hypoplasia, and dysplasia of lung",Agenesis of lung
74860,"Anomaly of lung, unspecified",Lung anomaly NOS
74861,Congenital bronchiectasis,Congen bronchiectasis
74869,Other congenital anomalies of lung,Lung anomaly NEC
7488,Other specified anomalies of respiratory system,Respiratory anomaly NEC
7489,Unspecified anomaly of respiratory system,Respiratory anomaly NOS
74900,"Cleft palate, unspecified",Cleft palate NOS
74901,"Cleft palate, unilateral, complete",Unilat cleft palate-comp
74902,"Cleft palate, unilateral, incomplete",Unilat cleft palate-inc
74903,"Cleft palate, bilateral, complete",Bilat cleft palate-compl
74904,"Cleft palate, bilateral, incomplete",Bilat cleft palate-inc
74910,"Cleft lip, unspecified",Cleft lip NOS
74911,"Cleft lip, unilateral, complete",Unilat cleft lip-compl
74912,"Cleft lip, unilateral, incomplete",Unilat cleft lip-imcompl
74913,"Cleft lip, bilateral, complete",Bilat cleft lip-complete
74914,"Cleft lip, bilateral, incomplete",Bilat cleft lip-incompl
74920,"Cleft palate with cleft lip, unspecified",Cleft palate & lip NOS
74921,"Cleft palate with cleft lip, unilateral, complete",Unil cleft palat/lip-com
74922,"Cleft palate with cleft lip, unilateral, incomplete",Unil cleft palat/lip-inc
74923,"Cleft palate with cleft lip, bilateral, complete",Bilat clft palat/lip-com
74924,"Cleft palate with cleft lip, bilateral, incomplete",Bilat clft palat/lip-inc
74925,Other combinations of cleft palate with cleft lip,Cleft palate & lip NEC
7500,Tongue tie,Tongue tie
75010,"Congenital anomaly of tongue, unspecified",Tongue anomaly NOS
75011,Aglossia,Aglossia
75012,Congenital adhesions of tongue,Cong adhesions of tongue
75013,Fissure of tongue,Cong fissure of tongue
75015,Macroglossia,Cong macroglossia
75016,Microglossia,Microglossia
75019,Other congenital anomalies of tongue,Tongue anomaly NEC
75021,Absence of salivary gland,Salivary gland absence
75022,Accessory salivary gland,Accessory salivary gland
75023,"Atresia, salivary duct","Cong atresia, saliv duct"
75024,Congenital fistula of salivary gland,Cong salivary fistula
75025,Congenital fistula of lip,Congenital lip fistula
75026,Other specified anomalies of mouth,Mouth anomaly NEC
75027,Diverticulum of pharynx,Diverticulum of pharynx
75029,Other specified anomalies of pharynx,Pharyngeal anomaly NEC
7503,"Tracheoesophageal fistula, esophageal atresia and stenosis",Cong esoph fistula/atres
7504,Other specified anomalies of esophagus,Esophageal anomaly NEC
7505,Congenital hypertrophic pyloric stenosis,Cong pyloric stenosis
7506,Congenital hiatus hernia,Congenital hiatus hernia
7507,Other specified anomalies of stomach,Gastric anomaly NEC
7508,Other specified anomalies of upper alimentary tract,Upper GI anomaly NEC
7509,Unspecified anomaly of upper alimentary tract,Upper GI anomaly NOS
7510,Meckel's diverticulum,Meckel's diverticulum
7511,Atresia and stenosis of small intestine,Atresia small intestine
7512,"Atresia and stenosis of large intestine, rectum, and anal canal",Atresia large intestine
7513,Hirschsprung's disease and other congenital functional disorders of colon,Hirschsprung's disease
7514,Anomalies of intestinal fixation,Intestinal fixation anom
7515,Other anomalies of intestine,Intestinal anomaly NEC
75160,"Unspecified anomaly of gallbladder, bile ducts, and liver",Biliary & liver anom NOS
75161,Biliary atresia,Biliary atresia
75162,Congenital cystic disease of liver,Cong cystic liver dis
75169,"Other anomalies of gallbladder, bile ducts, and liver",Biliary & liver anom NEC
7517,Anomalies of pancreas,Pancreas anomalies
7518,Other specified anomalies of digestive system,Anom digestive syst NEC
7519,Unspecified anomaly of digestive system,Anom digestive syst NOS
7520,Anomalies of ovaries,Anomalies of ovaries
75210,Unspecified anomaly of fallopian tubes and broad ligaments,Tubal/broad lig anom NOS
75211,Embryonic cyst of fallopian tubes and broad ligaments,Embryonic cyst of adnexa
75219,Other anomalies of fallopian tubes and broad ligaments,Tubal/broad lig anom NEC
7522,Doubling of uterus,Doubling of uterus
7523,Other anomalies of uterus,Uterine anomaly NEC
75240,"Unspecified anomaly of cervix, vagina, and external female genitalia",Cervix/fem gen anom NOS
75241,"Embryonic cyst of cervix, vagina, and external female genitalia",Embryon cyst fem gen NEC
75242,Imperforate hymen,Imperforate hymen
75249,"Other anomalies of cervix, vagina, and external female genitalia",Cervix/fem gen anom NEC
75251,Undescended testis,Undescended testis
75252,Retractile testis,Retractile testis
75261,Hypospadias,Hypospadias
75262,Epispadias,Epispadias
75263,Congenital chordee,Congenital chordee
75264,Micropenis,Micropenis
75265,Hidden penis,Hidden penis
75269,Other penile anomalies,Penile anomalies NEC
7527,Indeterminate sex and pseudohermaphroditism,Indeterminate sex
75281,Scrotal transposition,Scrotal transposition
75289,Other specified anomalies of genital organs,Genital organ anom NEC
7529,Unspecified anomaly of genital organs,Genital organ anom NOS
7530,Renal agenesis and dysgenesis,Renal agenesis
75310,"Cystic kidney disease, unspecified",Cystic kidney diseas NOS
75311,Congenital single renal cyst,Congenital renal cyst
75312,"Polycystic kidney, unspecified type",Polycystic kidney NOS
75313,"Polycystic kidney, autosomal dominant",Polycyst kid-autosom dom
75314,"Polycystic kidney, autosomal recessive",Polycyst kid-autosom rec
75315,Renal dysplasia,Renal dysplasia
75316,Medullary cystic kidney,Medullary cystic kidney
75317,Medullary sponge kidney,Medullary sponge kidney
75319,Other specified cystic kidney disease,Cystic kidney diseas NEC
75320,Unspecified obstructive defect of renal pelvis and ureter,Obs dfct ren plv&urt NOS
75321,Congenital obstruction of ureteropelvic junction,Congen obst urtroplv jnc
75322,Congenital obstruction of ureterovesical junction,Cong obst ureteroves jnc
75323,Congenital ureterocele,Congenital ureterocele
75329,Other obstructive defects of renal pelvis and ureter,Obst def ren plv&urt NEC
7533,Other specified anomalies of kidney,Kidney anomaly NEC
7534,Other specified anomalies of ureter,Ureteral anomaly NEC
7535,Exstrophy of urinary bladder,Bladder exstrophy
7536,Atresia and stenosis of urethra and bladder neck,Congen urethral stenosis
7537,Anomalies of urachus,Anomalies of urachus
7538,Other specified anomalies of bladder and urethra,Cystourethral anom NEC
7539,Unspecified anomaly of urinary system,Urinary anomaly NOS
7540,"Congenital musculoskeletal deformities of skull, face, and jaw",Cong skull/face/jaw def
7541,Congenital musculoskeletal deformities of sternocleidomastoid muscle,Congenital torticollis
7542,Congenital musculoskeletal deformities of spine,Cong postural deformity
75430,"Congenital dislocation of hip, unilateral","Cong hip disloc, unilat"
75431,"Congenital dislocation of hip, bilateral","Congen hip disloc, bilat"
75432,"Congenital subluxation of hip, unilateral","Cong hip sublux, unilat"
75433,"Congenital subluxation of hip, bilateral","Cong hip sublux, bilat"
75435,Congenital dislocation of one hip with subluxation of other hip,Cong hip disloc w sublux
75440,Genu recurvatum,Cong genu recurvatum
75441,Congenital dislocation of knee (with genu recurvatum),Cong knee dislocation
75442,Congenital bowing of femur,Congen bowing of femur
75443,Congenital bowing of tibia and fibula,Cong bowing tibia/fibula
75444,Congenital bowing of unspecified long bones of leg,Cong bowing leg NOS
75450,Talipes varus,Talipes varus
75451,Talipes equinovarus,Talipes equinovarus
75452,Metatarsus primus varus,Metatarsus primus varus
75453,Metatarsus varus,Metatarsus varus
75459,Other varus deformities of feet,Cong varus foot def NEC
75460,Talipes valgus,Talipes valgus
75461,Congenital pes planus,Congenital pes planus
75462,Talipes calcaneovalgus,Talipes calcaneovalgus
75469,Other valgus deformities of feet,Cong valgus foot def NEC
75470,"Talipes, unspecified",Talipes NOS
75471,Talipes cavus,Talipes cavus
75479,Other deformities of feet,Cong foot deform NEC
75481,Pectus excavatum,Pectus excavatum
75482,Pectus carinatum,Pectus carinatum
75489,Other specified nonteratogenic anomalies,Nonteratogenic anom NEC
75500,"Polydactyly, unspecified digits",Polydactyly NOS
75501,Polydactyly of fingers,"Polydactyly, fingers"
75502,Polydactyly of toes,"Polydactyly, toes"
75510,Syndactyly of multiple and unspecified sites,"Syndactyly, multiple/NOS"
75511,Syndactyly of fingers without fusion of bone,Syndactyl fing-no fusion
75512,Syndactyly of fingers with fusion of bone,Syndactyl fing w fusion
75513,Syndactyly of toes without fusion of bone,Syndactyl toe-no fusion
75514,Syndactyly of toes with fusion of bone,Syndactyl toe w fusion
75520,Unspecified reduction deformity of upper limb,Reduc deform up limb NOS
75521,Transverse deficiency of upper limb,Transverse defic arm
75522,"Longitudinal deficiency of upper limb, not elsewhere classified",Longitud defic arm NEC
75523,"Longitudinal deficiency, combined, involving humerus, radius, and ulna (complete or incomplete)",Combin longit defic arm
75524,"Longitudinal deficiency, humeral, complete or partial (with or without distal deficiencies, incomplete)",Longitudin defic humerus
75525,"Longitudinal deficiency, radioulnar, complete or partial (with or without distal deficiencies, incomplete)",Longitud defic radioulna
75526,"Longitudinal deficiency, radial, complete or partial (with or without distal deficiencies, incomplete)",Longitud defic radius
75527,"Longitudinal deficiency, ulnar, complete or partial (with or without distal deficiencies, incomplete)",Longitudinal defic ulna
75528,"Longitudinal deficiency, carpals or metacarpals, complete or partial (with or without incomplete phalangeal deficiency)",Longitudinal defic hand
75529,"Longitudinal deficiency, phalanges, complete or partial",Longitud defic phalanges
75530,"Unspecified reduction deformity of lower limb,",Reduction deform leg NOS
75531,Transverse deficiency of lower limb,Transverse defic leg
75532,"Longitudinal deficiency of lower limb, not elsewhere classified",Longitudin defic leg NEC
75533,"Longitudinal deficiency, combined, involving femur, tibia, and fibula (complete or incomplete)",Comb longitudin def leg
75534,"Longitudinal deficiency, femoral, complete or partial (with or without distal deficiencies, incomplete)",Longitudinal defic femur
75535,"Longitudinal deficiency, tibiofibular, complete or partial (with or without distal deficiencies, incomplete)",Tibiofibula longit defic
75536,"Longitudinal deficiency, tibia, complete or partial (with or without distal deficiencies, incomplete)",Longitudinal defic tibia
75537,"Longitudinal deficiency, fibular, complete or partial (with or without distal deficiencies, incomplete)",Longitudin defic fibula
75538,"Longitudinal deficiency, tarsals or metatarsals, complete or partial (with or without incomplete phalangeal deficiency)",Longitudinal defic foot
75539,"Longitudinal deficiency, phalanges, complete or partial",Longitud defic phalanges
7554,"Reduction deformities, unspecified limb",Reduct deform limb NOS
75550,Unspecified anomaly of upper limb,Upper limb anomaly NOS
75551,Congenital deformity of clavicle,Cong deformity-clavicle
75552,Congenital elevation of scapula,Cong elevation-scapula
75553,Radioulnar synostosis,Radioulnar synostosis
75554,Madelung's deformity,Madelung's deformity
75555,Acrocephalosyndactyly,Acrocephalosyndactyly
75556,Accessory carpal bones,Accessory carpal bones
75557,Macrodactylia (fingers),Macrodactylia (fingers)
75558,"Cleft hand, congenital",Congenital cleft hand
75559,"Other anomalies of upper limb, including shoulder girdle",Upper limb anomaly NEC
75560,Unspecified anomaly of lower limb,Lower limb anomaly NOS
75561,"Coxa valga, congenital",Congenital coxa valga
75562,"Coxa vara, congenital",Congenital coxa vara
75563,Other congenital deformity of hip (joint),Cong hip deformity NEC
75564,Congenital deformity of knee (joint),Cong knee deformity
75565,Macrodactylia of toes,Macrodactylia of toes
75566,Other anomalies of toes,Anomalies of toes NEC
75567,"Anomalies of foot, not elsewhere classified",Anomalies of foot NEC
75569,"Other anomalies of lower limb, including pelvic girdle",Lower limb anomaly NEC
7558,Other specified anomalies of unspecified limb,Congen limb anomaly NEC
7559,Unspecified anomaly of unspecified limb,Congen limb anomaly NOS
7560,Anomalies of skull and face bones,Anomal skull/face bones
75610,"Anomaly of spine, unspecified",Anomaly of spine NOS
75611,"Spondylolysis, lumbosacral region",Lumbosacr spondylolysis
75612,Spondylolisthesis,Spondylolisthesis
75613,"Absence of vertebra, congenital",Cong absence of vertebra
75614,Hemivertebra,Hemivertebra
75615,"Fusion of spine (vertebra), congenital",Congen fusion of spine
75616,Klippel-Feil syndrome,Klippel-feil syndrome
